job,description,source,surface,training duration,hierarchy,physicality,sector,income,categorie
couvreur,,,high,low,worker,high,secondary,low,bâtiment
cuisinière,,,medium,low,worker,high,secondary,low,alimentation
cuisinier,,,medium,low,worker,high,secondary,low,alimentation
emailleur,artisant travaillant l'email,https://fr.wikipedia.org/wiki/%C3%89mail_(verre),medium,medium,worker,high,secondary,low,artisanat
fabricant,,,medium,medium,worker,high,secondary,low,artisanat
fabricant de coton,,,medium,low,worker,high,secondary,low,cuir et textile
facturier,"Tisserand, Ouvrier qui tisse sur un métier une étoffe ou un tapis.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,low,worker,high,secondary,low,cuir et textile
ferblantier,Celui qui fabrique ou qui vend des outils ou ustensiles en fer-blanc ; Fabricant de fermoirs.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,medium,worker,high,secondary,low,artisanat
fileur,Fabricant et marchand de fils de fer.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,low,worker,high,secondary,low,artisanat
fileuse,,,low,low,worker,high,secondary,low,cuir et textile
filtier,"TODO discuss if it's in LIlle, what about Lausanne ?À lille, celui, celle qui retord le fil pour le vendre au commerce.",https://www.lalanguefrancaise.com/dictionnaire/definition/filtier,low,low,worker,high,secondary,low,artisanat
fondeur,Artisan moulant les objets métalliques ou de fonte (fondeur de cloches).,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,medium,worker,high,secondary,low,artisanat
gantier,"Fabricant de gants, culottes, gilets... et de parfums.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,medium,worker,high,secondary,low,cuir et textile
graveur,,,medium,medium,worker,high,secondary,low,artisanat
gypseur/gypsier,Plâtrier.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,low,worker,high,secondary,low,bâtiment
gypsier,Plâtrier.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,low,worker,high,secondary,low,bâtiment
horloger,,,medium,medium,worker,low,secondary,medium,artisanat
imprimeur,,,high,low,worker,high,secondary,low,artisanat
lithographe,Personne qui imprime ou reproduit par la lithographie.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres?name-directory-search-value=lithographe&dir=7#name_directory_position7,medium,medium,worker,low,secondary,medium,artisanat
maçon,,,low,low,worker,high,secondary,low,bâtiment
malletier,Un malletier est un fabricant de bagages et de valises.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,medium,worker,high,secondary,low,cuir et textile
manoeuvre,,,low,low,worker,high,secondary,low,bâtiment
manœuvre,,,low,low,worker,high,secondary,low,bâtiment
manoeuvre ardoisier,TODO. should be split as manoeuvre + ardoisier ?,,low,low,worker,high,secondary,low,bâtiment
marbrier,"Ouvrier, artisan qui travaille à scier et à polir le marbre (dictionnaire de l'académie françoise, 1694). il peut aussi s'agir du propriétaire d'une marbrerie, ou d'un marchand de marbre.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,medium,worker,high,secondary,medium,artisanat
maréchal,"Maréchal-ferrant, forgeron.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,medium,worker,high,secondary,low,artisanat
maréchal ferrant,,,medium,medium,worker,high,secondary,low,artisanat
mécanicien,,,medium,medium,worker,high,secondary,low,industrie
menuisier,,,medium,medium,worker,high,secondary,medium,bâtiment
orfèvre,Celui qui fabrique ou vend des objets en métaux précieux.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,medium,worker,low,secondary,medium,artisanat
ouvrier en parapluies,,,medium,low,worker,high,secondary,low,artisanat
ouvrier papetier,,,medium,low,worker,high,secondary,low,artisanat
ouvrier potier,,,medium,medium,worker,high,secondary,low,artisanat
ouvrier vitrier,,,medium,medium,worker,high,secondary,low,bâtiment
ouvrière,,,medium,low,worker,high,secondary,low,industrie
ouvrier,,,medium,low,worker,high,secondary,low,industrie
pâtissier,,,medium,medium,worker,high,secondary,medium,alimentation
passementier,Fabricant ou vendeur de bandes de tissu servant d'ornement en bordure d'un vêtement ou d'une teinture.,vieuxmetiers.org,medium,low,worker,low,secondary,medium,cuir et textile
peintre,,,medium,low,worker,high,secondary,low,bâtiment
photographe,,,medium,medium,worker,low,secondary,medium,artisanat
pintier,Potier d'étain spécialisé dans la réalisation de récipients de mesure.,vieuxmetiers.org,medium,low,worker,low,secondary,low,artisanat
poêlier,Fabricant de poêles (meuble de chauffage),https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,medium,worker,high,secondary,low,artisanat
potier de terre,,,medium,low,worker,high,secondary,low,artisanat
relieur de livres,,,low,medium,worker,high,secondary,low,artisanat
rotier,Fabricant de ros : peigne de bois ou de fer utilisé sur les métiers et entre les dents duquel passent les fils de la chaîne.,vieuxmetiers.org,medium,medium,worker,low,secondary,medium,artisanat
scieur,,,medium,low,worker,high,secondary,low,bâtiment
sculpteur,,,medium,high,worker,high,secondary,medium,artisanat
sellier,,,medium,medium,worker,high,secondary,low,cuir et textile
serrurier,,,medium,medium,worker,high,secondary,low,artisanat
tailleur,,,medium,medium,worker,low,secondary,low,cuir et textile
tailleur de pierre,,,medium,medium,worker,high,secondary,medium,bâtiment
tailleuse,,,medium,medium,worker,low,secondary,low,cuir et textile
tanneur,,,medium,medium,worker,high,secondary,low,cuir et textile
tapissier,,,medium,low,worker,low,secondary,low,bâtiment
tapissière,,,medium,low,worker,low,secondary,low,bâtiment
tisserand,,,medium,medium,worker,high,secondary,medium,cuir et textile
tonnelier,,,medium,medium,worker,high,secondary,low,artisanat
tourneur,Tourneur est un métier du bois spécialisé dans le tournage sur bois.,https://fr.wikipedia.org/wiki/Tournage_sur_bois,medium,medium,worker,high,secondary,low,artisanat
traiteur,,,medium,low,worker,high,secondary,medium,alimentation
vannier,"Artisan qui travaille l'osier pour en faire des hottes, des paniers, des corbeilles, etc...",vieuxmetiers.org,medium,medium,worker,high,secondary,medium,artisanat
vitrier,,,medium,medium,worker,high,secondary,medium,bâtiment
artiste,,,medium,medium,worker,low,secondary,low,artisanat
blanchisseuse,,,medium,low,worker,high,secondary,low,cuir et textile
cantinière,,,medium,low,worker,high,secondary,low,alimentation
chef d'équipe,,,medium,low,boss,high,secondary,medium,industrie
émouleur,Ouvrier aiguisant les instruments tranchants,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,low,worker,high,secondary,low,artisanat
perruquier,Homme qui faisait et entretenait les perruques. Aussi qui coiffe et rase.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,medium,worker,high,secondary,low,artisanat
teinturier,,,medium,low,worker,low,secondary,low,artisanat
tuilier,,,medium,low,worker,high,secondary,low,bâtiment
coiffeur,,,medium,medium,worker,high,tertiary,low,
affranchisseuse,"L'affranchisseur ou l'affranchisseuse est un professionnel qui se charge de l'affranchissement du courrier. Il/elle est responsable de la préparation, de la pesée, de l'affranchissement et de l'envoi du courrier ou des colis. Il/elle utilise diverses machines pour effectuer son travail, comme les machines à affranchir, les balances postales et les systèmes de tracking.",https://infonet.fr/metiers/E1304/10330-affranchisseur,medium,medium,worker,high,tertiary,low,communication
agent d'affaires,L'agent d'affaires est une personne qui se charge habituellemet de gérer les affaires d'autrui moyennant rétribution et qui ne relève pas d'une activité professionnelle légalement réglementée.,https://loidici.biz/2018/09/27/lactivite-dagent-daffaires/culture-juridique/droit/je-choisis-ma-profession/7895/naty/,low,medium,worker,low,tertiary,high,commerce
agent de police,,,high,medium,worker,high,tertiary,low,
antiquaire,,,medium,low,boss,low,tertiary,medium,commerce
argentier,"L'argentier ou grand argentier de France est une personne chargée des finances en France sous l'Ancien Régime, l'équivalent d'un surintendant des Finances mais d'un rang inférieur au ministre des finances. ",https://fr.wikipedia.org/wiki/Argentier_(m%C3%A9tier),low,medium,boss,low,tertiary,high,
arpenteur,Celui qui mesure les terres.,https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,high,medium,worker,high,tertiary,low,
aubergiste,,,high,low,boss,low,tertiary,medium,
avocat,,,low,high,worker,low,tertiary,high,
banquier,,,low,high,worker,low,tertiary,high,
barbier,,,medium,medium,worker,high,tertiary,low,
batelier,"Le batelier ou marinier est un professionnel dont le métier consiste à piloter un bateau fluvial, une péniche, pousseur ou convoi fluvial naviguant sur des voies navigables intérieures (lacs, canaux et rivières).",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,high,low,worker,high,tertiary,low,transport
bijoutier,,,medium,medium,worker,low,tertiary,medium,commerce
cafetier,"Le cafetier gère un café, assurant à la fois l'accueil des clients, la préparation des boissons et la gestion de l'établissement.",https://staffmatch.com/fr/jobs/metier-cafetier/,medium,low,worker,low,tertiary,low,commerce
cafetière,"Le cafetier gère un café, assurant à la fois l'accueil des clients, la préparation des boissons et la gestion de l'établissement.",https://staffmatch.com/fr/jobs/metier-cafetier/,medium,low,worker,low,tertiary,low,commerce
cariste,"Le cariste a pour activité la conduite d’engins de manutention dans le cadre d’opérations de déplacement, de chargement, de stockage, etc. ",https://www.samsic-emploi.fr/nos-metiers/cariste,high,low,worker,high,tertiary,low,transport
charbonnier,Marchand livreur de charbon de bois ou de terre (houille) chez les particuliers.,vieuxmetiers.org,high,low,worker,high,tertiary,low,commerce
chartrier,Personne qui conduisait les chevaux (rivières et canaux).,https://en.geneanet.org/metiers/detail/chartier/Chartier,high,low,worker,high,tertiary,low,transport
chauffeur,,https://en.geneanet.org/metiers/detail/chauffeur-all/chauffeur,high,medium,worker,low,tertiary,low,transport
chef de train,,,high,medium,boss,low,tertiary,medium,transport
chirurgien,,,medium,high,boss,high,tertiary,high,
cireur,"Personne nettoyant et cirant les souliers des passants; il était soit ambulant soit résident à un carrefour, un pont ...",https://www.vieuxmetiers.org/,low,low,worker,low,tertiary,low,
cocher,Conducteur de coche ou de carrosse.,https://www.vieuxmetiers.org/,high,low,worker,low,tertiary,low,transport
commis,,,low,low,worker,high,tertiary,low,
commis négociant,,,low,low,worker,high,tertiary,low,commerce
commissaire,,,low,medium,boss,low,tertiary,medium,
commissaire de police,,,low,medium,boss,low,tertiary,medium,
conducteur de diligences,,,high,low,worker,low,tertiary,low,transport
dentiste,,,medium,high,boss,low,tertiary,high,
directeur de poste,,,low,medium,boss,low,tertiary,medium,communication
docteur,assuming médecin,,medium,high,boss,high,tertiary,high,
docteur en droit,,,low,high,worker,low,tertiary,low,
domestique,,,medium,low,worker,high,tertiary,low,
ecrivain,,,low,medium,worker,low,tertiary,low,
employé à la gare,,,,,worker,,tertiary,,transport
employé postal,,,low,medium,worker,low,tertiary,medium,communication
employé aux chemins de fer,,,,,worker,,tertiary,,transport
employé aux postes,,,low,medium,worker,low,tertiary,medium,communication
employé de gare,,,,,worker,,tertiary,,transport
entrepreneur,,,low,low,boss,low,tertiary,medium,commerce
epicier,,,medium,low,boss,low,tertiary,medium,commerce
épicier,,,medium,low,boss,low,tertiary,medium,commerce
epicière,,,medium,low,boss,low,tertiary,medium,commerce
épicière,,,medium,low,boss,low,tertiary,medium,commerce
facteur,,,high,low,worker,high,tertiary,low,communication
garde,assuming: security guard,,medium,low,worker,high,tertiary,low,
garde malade,,,medium,low,worker,high,tertiary,low,
garde police,,,high,low,worker,high,tertiary,low,
gendarme,,,high,low,worker,high,tertiary,medium,
geôlier,,,medium,low,worker,high,tertiary,low,
gérant de division,assuming : militaire,,low,low,boss,low,tertiary,medium,
gociant,,,low,low,worker,low,tertiary,medium,commerce
greffier,,,low,medium,worker,low,tertiary,medium,
hôtelier,"Celui qui tient une maison où l'on loge et mange pour de l'argent, voir Aubergiste, Cabaretier et Tavernier",vieuxmetiers.org,medium,medium,boss,low,tertiary,medium,
huissier,,,low,medium,worker,high,tertiary,medium,
ingénieur,,,low,high,worker,low,tertiary,high,
inspecteur,,,low,medium,worker,low,tertiary,medium,
instituteur,,,medium,high,worker,low,tertiary,medium,
institutrice,,,medium,high,worker,low,tertiary,medium,
instructeur,,,medium,high,worker,low,tertiary,medium,
juge au tribunal,,,medium,high,worker,low,tertiary,high,
juge d'appel,,,medium,high,worker,low,tertiary,high,
laitier,,,low,low,worker,high,tertiary,low,commerce
lessiveuse,,https://en.geneanet.org/metiers/detail/lessiveuse-all/lessiveuse,medium,low,worker,high,tertiary,low,
libraire,,,medium,medium,worker,low,tertiary,low,
lingere,,,low,low,worker,low,tertiary,low,
maîtresse d'école,,,medium,high,worker,low,tertiary,medium,
marchand,,,medium,low,worker,low,tertiary,medium,commerce
marchand ambulant,,,low,low,worker,high,tertiary,low,commerce
marchand de bois,,,medium,low,worker,high,tertiary,low,commerce
marchand de soufflets,,,medium,low,worker,low,tertiary,low,commerce
marchand de vin,,,medium,low,worker,low,tertiary,medium,commerce
marchand épicier,,,medium,low,worker,low,tertiary,medium,commerce
marchande,,,medium,low,worker,low,tertiary,low,commerce
marchande de couronnes,,,medium,low,worker,low,tertiary,low,commerce
medecin,,,medium,high,boss,high,tertiary,high,
menagère,,,low,low,worker,low,tertiary,low,
ministre,,,low,low,boss,low,tertiary,high,
modiste,,,medium,medium,worker,low,tertiary,medium,commerce
musicien,,,low,medium,worker,low,tertiary,low,
négociant,TODO: what is a negociant,,low,low,worker,low,tertiary,medium,
negot.,"TODO: check origin:'gociant', corrected in the new csv",,low,low,worker,low,tertiary,medium,
notaire,,,medium,high,worker,low,tertiary,high,
pasteur,,,medium,low,boss,low,tertiary,low,
pharmacien,,,medium,medium,worker,low,tertiary,high,
piconnier,Revendeur de laines de rebut.,https://en.geneanet.org/metiers/detail/piconnier-all/piconnier,medium,low,worker,low,tertiary,low,
porteur de valises,,,low,low,worker,high,tertiary,low,
portier,"Dans un couvent, un monastère ou un hôtel, personne en charge de réceptionner les visiteurs à la porte d'entrée principale.",https://www.vieuxmetiers.org/,medium,low,worker,low,tertiary,low,
préfêt,,,low,medium,boss,low,tertiary,high,
procureur,,,low,high,boss,low,tertiary,high,
professeur,,,medium,high,worker,low,tertiary,medium,
regent,,,medium,low,boss,low,tertiary,low,
repasseuse,,,medium,low,worker,high,tertiary,low,
sage femme,,,medium,low,worker,high,tertiary,low,
secrétaire,,,low,medium,worker,low,tertiary,low,
secrétaire au,,,low,medium,worker,low,tertiary,low,
sonneur,"Assuming : Sonneur de cloches   Homme qui faisait sonner les cloches, pour le matin, le midi, le soir pour l’angélus, le glas pour les décès, pour les baptêmes, les mariages, les inhumations, il creusait aussi les fosses, portait la croix et bénitier.",https://www.lestracesdevosancetres.fr/les-metiers-de-vos-ancetres,medium,low,worker,high,tertiary,low,
télégraphiste,Employé chargé de la réception et la transmission des messages au moyen d'un télégraphe aérien (dit de Chappe) ou électrique.,https://www.vieuxmetiers.org/,medium,medium,worker,low,tertiary,medium,
typographe,,,low,low,worker,low,tertiary,low,
vendeur de vin,,,medium,low,worker,low,tertiary,medium,commerce
violoniste,,,low,high,worker,high,tertiary,medium,
voiturier,,,medium,low,worker,high,tertiary,low,transport
apprenti,TODO check si on sait apprenti en quoi ?,,,,,,,low,
as,"TODO : origin:'ase' in line 269, census entry [19900, 35987]",,,,,,,,
caféier,,https://en.geneanet.org/metiers/detail/cafeier-all/caf%C3%A9ier,,,,,,,
cartonnier,TODO check,,,,,,,,
codeur,TODO check,,,,,,,,
commis libraire,,,,,,,,,
commis voyageur,,,,,,,,,
commissionnaire,,,,,,,,,
compositeur,,,,,,,,,
compositrice,,,,,,,,,
comptable,,,,,,,,,
concierge,,,,,,,,,
conducteur,,,,,,,,,
confiseuse,,,,,,,,,
constructeur,,,,,,,,,
courreur,,,,,,,,,
courtepointière,,,,,,,,,
coutelier,,,,,,,,,
directeur,,,,,boss,,,,
doreur,,,,,,,,,
douanier,,,,,,,,,
drapier,,,,,,,,,
ebéniste,,,,,,,,,
écrivain,,,,,,,,,
écrivain public,,,,,,,,,
employé,TODO: pas clair ? employé en quoi,,,,worker,,,low,
employé otl,TODO: check if employé aux tl,,,,worker,,,low,
equarrisseur,,,,,,,,,
fabricant d'allumettes,,,,,,,,,
fabricant de casquettes,,,,,,,,,
fabricant de chandelles,,,,,,,,,
fabricant de couvertures,,,,,,,,,
fabricant de papier peint,,,,,,,,,
fabricant de parapluies,,,,,,,,,
facteur d'instruments,,,,,,,,,
femme de ménage,,,,,,,,,
fermière,,,,,,,,,
ferrassier,,,,,,,,,
fleuriste,,,,,,,,,
fontainier,,,,,,,,,
fontenier,,,,,,,,,
fournier,,,,,,,,,
friseur,TODO : idk,,,,,,,,
fûtier,TOD idk,,,,,,,,
galochier,,,,,,,,,
gantière,,,,,,,,,
locataire,Personne qui loue des appartements,,,,,,,high,
négociante,,,,,,,,,
pontière,TODO what is that,,,,,,,,
proprietaire,Personne qui loue des appartements,,,,,,,high,
propriétaire et négociant,Personne qui loue des appartements,,,,,,,high,
propriétaire et rentier,Personne qui loue des appartements,,,,,,,high,
relieur,,,,,,,,,
rentier,Personne qui loue des appartements,,,,,,,high,
rentier ancien géomètre,Personne qui loue des appartements,,,,,,,high,
rentiere,Personne qui loue des appartements,,,,,,,high,
riveuse,,,,,,,,,
rotativiste,,,,,,,,,
roto,,,,,,,,,
sans,IS NOT A JOB,,,,,,,low,
sans profession,IS NOT A JOB,,,,,,,low,
tueur de porcs,IS NOT A JOB,,,,,,,,
sans vocation,,,,,,,,,
emploi inconnu,l'emploi n'a pas été reconnu par notre système,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,https://fr.readkong.com/page/dictionnaire-des-vieux-metiers-8339088?p=2,,,,,,,
